StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID69,QID3,QID4,DOB1#1_1,DOB1#2_1,DOB1#3_1,QID10,QID11,QID12,QID13,QID14,QID15,QID63,QID72,lifesat3,QID74,QID75,QID76,QID77,QID78,QID79,QID80,QID81,QID16,QID17,QID18,Q16,Q17,Q18,Q19,Q20,Q21,Q22,QID26,QID27,QID28,QID29,QID30,QID31,QID32,QID33,QID34,QID35,QID36,QID37,QID38,QID39,QID40,QID41,QID42,QID43,QID44,QID45,QID46,QID47,QID48,QID49,QID50,QID51,QID52,QID53,QID54,QID83,QID84,QID85,QID86,fas5,QID88,QID101,QID101_5_TEXT,QID89,School contact,School name,School seed code,Local Authority
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Welcome to the SHINE pupil mental health and wellbeing survey!



This survey is about you and how you feel. The information you give will be combined with answers from other pupils and used to help your school to plan health and wellbeing activities in your school.



Before you start, we wanted to tell you about the survey:



• It is not a test and there are no right or wrong answers.

• Please answer each question as honestly as you can.

• We do not ask your name. Your school will not be able to identify you.

• For each question, select the answer that best fits how you feel.

• If it is difficult for you to choose an answer, select the answer that is true for you most of the time.

• To continue to the next question, click the next button at the bottom of the page. If you need to go back, click the previous button at the bottom of the page.

• If you do not want to answer a question, select the ‘Prefer not to say’ option and continue on to the next question.



Remember that taking part in this survey is up to you. You do not have to take part if you do not want to. If you have any questions, please ask your teacher.



If you are ready to start, please select Yes below and click the 'next page' button at the bottom of the page.",class,gender,"What is your date of birth?(Note, this question is intelligent about month lengths and leap years. Y - Month - Please Select:","What is your date of birth?(Note, this question is intelligent about month lengths and leap years. Y - Day - Please Select:","What is your date of birth?(Note, this question is intelligent about month lengths and leap years. Y - Year - Please Select:",health,Who1,Who2,Who3,Who4,Who5,lifesat1,lifesat2,"How happy are you with the home that you live in?

 


   0 =very unhappy                                                            5 = not happy or unhappy                                          10 =very happy",lifesat4,lifesat5,lifesat6,lifesat7,lifesat8,lifesat9,lifesat10,lifesat11,mm1,mm2,mm3,mm4,mm5,mm6,mm7,mm8,mm9,mm10,mm11,mm12,mm13,mm14,mm15,mm16,Sch1,Sch2,Sch3,sehs1,sehs2,sehs3,sehs4,sehs5,sehs6,sehs7,sehs8,sehs9,sehs10,sehs11,sehs12,sehs13,sehs14,sehs15,sehs16,sehs17,sehs18,sehs19,sesh20,fas1,fas2,fas3,fas4,How many bathrooms (rooms with a bath/shower or both) are in your home?,fas6,postcode - Selected Choice,postcode - My postcode is: - Text,Activity,School contact,School name,School seed code,Local Authority
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID69""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID103#1_1""}","{""ImportId"":""QID103#2_1""}","{""ImportId"":""QID103#3_1""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID63""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_5_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""School contact""}","{""ImportId"":""School name""}","{""ImportId"":""School seed code""}","{""ImportId"":""Local Authority""}"
2024-07-18 11:09:14,2024-07-18 11:09:14,Survey Test,100,0,True,2024-07-18 11:09:14,R_3kK7OVvouo1jrVQ,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestSchoolA,,
2024-07-18 11:09:14,2024-07-18 11:09:14,Survey Test,100,0,True,2024-07-18 11:09:14,R_bwqkLwbT0axhkX4,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestSchoolA,,
2024-07-18 11:09:14,2024-07-18 11:09:15,Survey Test,100,1,True,2024-07-18 11:09:15,R_3KRAwGgm1aX5I90,test,,"Yes, I am happy to take part",P7,Boy,August,14,2017,Prefer not to say,More than half of the time,More than half of the time,Less than half of the time,Prefer not to say,Most of the time,8,4,9,3,2,6,7,10,1,8,9,Sometimes,"Never ","Always ",Sometimes,"Never ",Sometimes,Sometimes,Prefer not to say,"Always ","Always ",Sometimes,Sometimes,"Never ","Always ","Always ","Never ",I like it a lot,A little,Hardly ever,Prefer not to say,Almost never,Prefer not to say,Prefer not to say,Prefer not to say,Often,Almost never,"Very often ","Very often ",Prefer not to say,Often,Sometimes,Almost never,"Very often ",Prefer not to say,"Very often ","Very often ",Almost never,Sometimes,Prefer not to say,"Yes, one",No,More than two,Once,Prefer not to say,No,Don't know postcode,,"Outdoor activities (playing, walking, cycling etc) ,Going on the internet ,Creative arts (drama, dance, music) ",,TestSchoolA,,
2024-07-18 11:09:15,2024-07-18 11:09:15,Survey Test,100,0,True,2024-07-18 11:09:15,R_bpeOgCWq14da08S,test,,"Yes, I am happy to take part",Prefer not to say,Prefer not to say,December,5,2026,Good,Some of the time,More than half of the time,Less than half of the time,Most of the time,Some of the time,10,Prefer not to say,9,6,9,3,7,1,0,Prefer not to say,0,Prefer not to say,"Never ",Sometimes,"Never ",Prefer not to say,Prefer not to say,"Always ",Prefer not to say,Prefer not to say,"Never ","Never ",Sometimes,"Always ","Never ",Sometimes,Prefer not to say,I like it a lot,A little,Often,Sometimes,Prefer not to say,"Very often ",Often,Often,Sometimes,Prefer not to say,Often,Often,Sometimes,Almost never,Often,"Very often ","Very often ",Often,Sometimes,Prefer not to say,Often,Sometimes,Prefer not to say,Prefer not to say,Yes,None,More than twice,Prefer not to say,Yes,Prefer not to say,,"Hanging out with friends ,Reading ,Going on the internet ",,TestSchoolA,,
2024-07-18 11:09:15,2024-07-18 11:09:15,Survey Test,100,0,True,2024-07-18 11:09:15,R_37uSNKAXXAJ7nvM,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestSchoolA,,
2024-07-18 11:09:15,2024-07-18 11:09:15,Survey Test,100,0,True,2024-07-18 11:09:15,R_7Woi2yS8LV0Jvfg,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestSchoolA,,
2024-07-18 11:09:15,2024-07-18 11:09:15,Survey Test,100,0,True,2024-07-18 11:09:16,R_87GG4hrKe9Pw6QC,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestSchoolA,,
2024-07-18 11:09:16,2024-07-18 11:09:16,Survey Test,100,0,True,2024-07-18 11:09:16,R_em3VblaDMDEmlro,test,,"No, I do not want to take part",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TestSchoolA,,
